aid,label,uid,age,gender,marriageStatus,education,consumptionAbility,LBS,interest1,interest2,interest3,interest4,interest5,kw1,kw2,kw3,topic1,topic2,topic3,appIdInstall,appIdAction,ct,os,carrier,house,advertiserId,campaignId,creativeId,creativeSize,adCategoryId,productId,productType
1201,0.0,53886088,2,2,13 10,7,1,296.0,70 76 69 28 106 41 42 17 56 62 36 11 20,,,,33 78 71 109 30 28 6 42 76 55 89 59 18 58 64 129 56 130 103 93 83,319706 561405 574847 557440 467108,41565 66915 51859 69786 119226,,4080 6634 9402 5382 5269,2548 6792 6985 989 7342,,,,3 1,1,3,,5552,68476,1172593,35,27,113,9
692,0.0,73996764,1,1,10,7,1,544.0,69 38,,,4 5,72 37 116 11 71 69 6 87 46 121 59 129 21,,5623 18185 58598 22630 76242,,2887 8034 1803 1398 7407,9270 7654 2957 105 6583,,,2183 4807 2911,1 3,1,3,,6946,296367,455396,59,24,3794,11
369,1.0,32300456,1,1,6 13,7,1,585.0,70 109 76 16 59 49 122 6 73 111 60 113 57 116 36 11 90 87,24 46 30 72,,,52 131 37 13 71 8 50 6 76 27 46 126 59 60 56 114 96 40 93,91104 614872 420403 778320 612659,95439 3372 117660 79604 18185,,5840 3814 5997 4940 117,8917 41 4793 3298 1063,,,,1 3,1,1,,66025,170445,1229175,109,94,0,4
136,0.0,40196103,4,1,11,6,2,210.0,93 70 77 37 109 12 47 4 75 8 29 49 6 46 112 36 11 51 118 76 28 106 59 64 119 18 57 9,63 47 24 73 9 31 32 21 4 30 48 7,,,52 100 72 80 131 37 78 4 8 113 30 69 41 6 46 59 129,338851 235002 561451 162804 650033,106910 82323 7794 89401 7827,,8048 7165 9397 4723 36,1094 5791 1877 9708 3184,,,,1 3 2,1,2,,452,50305,1187573,35,10,7992,11
404,0.0,3690099,2,1,10,5,1,94.0,70 86 109 12 47 49 83 6 73 115 88 56 36 34 11 100 76 48 28 67 64 119 84 68 23 9 17 116 87,73 80,,,72 80 92 101 13 71 109 8 86 115 6 2 42 46 57 35 133 21 52 131 79 29 89 59 129,277172 267586 750628 118425 279516,67595 67294 37666 1225 44005,,9826 584 5309 7684 7612,6170 8075 2872 1380 6311,,,,3 1,1,2,1.0,821,888,1353465,59,10,439,11
369,0.0,24131128,1,1,10,2,1,112.0,49 18,,,,52 92 131 116 13 78 71 124 8 30 50 28 132 2 42 5 55 24 35 133 114,44867 278255 378006 449721 111144,90599 56819 51859 76242 97765,,2224 972 9826 9016 4367,7612 9211 3222 8823 6311,,,,3 1 2,1,3,1.0,66025,170445,1229175,109,94,0,4
1468,0.0,47910804,5,1,10,1,1,332.0,109 59 49 6 119 89 73 91 111 116 36 11 87,,,,72 131 116 29 8 73 6 132 42 97 121 59 36,463633 182986 580633 46340 625983,69067 63773 81592 113431 64956,,2654 4025 46 881 1469,8688 6045 2504 784 5370,,,,1 3 4,1,3,,915,994,1610899,60,51,0,4
1379,0.0,13140929,5,1,11,7,2,195.0,36 11,22 24 73 46 70 30 74 14,,,6 42 74 64,298606 487978 32129 562294 397136,11395 57049 34802 23634 81493,8820 58327 33417 35940 54643,6762 3836 4971 9649 7131,4159 8384 6586 6994 8402,3418 6413 309 8788 1614,,,1 3,1,1,,8864,90700,469197,22,27,113,9
894,1.0,3596334,4,2,11,7,1,188.0,93 70 77 37 109 98 75 33 28 29 42 46 111 35 36 11,58 79 24 73 1 46 70 6 19 28 13 30 74 43 29,,,127 52 100 80 131 37 78 8 30 6 46 74 59 129,338851 497092 224284 410690 100680,104708 105941 106673 60043 51247,,6939 2036 6816 9826 1379,1944 3279 6116 7403 4295,,,,3 1 4,2,3,,452,38391,43862,35,10,12193,11
7,0.0,66429852,4,1,11,7,1,623.0,93 70 86 98 75 8 29 49 6 42 73 72 46 35 56 36 11 51 118 100 76 48 28 106 59 67 89 60 57 17 87,24 30,,,104 100 72 33 37 116 101 109 8 6 42 76 46 36 131 11 48 113 69 132 89 59 129 93,171741 249044 297041 637957 172972,32301 6918 44999 16522 34154,,2267 6586 9826 8672 7281,1633 7095 6250 6224 2635,,,,3 4 1,1 2,1,,3387,163957,221432,42,137,3826,11
1379,0.0,60696969,2,1,13 10,1,1,360.0,59 49 89 18 36 11,42 1 52 70 21 10,,,116 13 78 71 30 61 50 6 5 76 9 89 94 35 21 93,601816 297041 442904 658713 642888,63196 77529 14306 73934 52489,,4620 4316 2028 8488 7322,803 8828 9968 1881 358,,,,1 3,1,1,,8864,90700,469197,22,27,113,9
1468,0.0,35825134,2,1,10,2,0,585.0,,70 10 35,,,,,43582 8546 5623 6786 10695,,,1352 982 2386 1869 9261,,,,0,0,0,,915,994,1610899,60,51,0,4
1819,0.0,77714697,3,2,0,2,0,839.0,70 76 28 6 71 36 11,,,,,162804 345784 529821 460690 8561,29946 87912 18185 5685 76242,,3414 2430 7382 9826 449,1365 4329 4009 4178 6945,,,,3 1,1,0,,10055,169332,1562482,53,192,0,6
846,0.0,38348970,1,1,10,6,0,192.0,36 11,24 73 21 33 28 3 12 30,,,,329102 649409 23026 712002 8561,6365 26480 94407 8125 37890,,9675 4704 9457 7277 6463,2446 8306 4905 8715 9239,,,,3 4 1,1,0,,8864,310473,1073411,22,43,25730,9
1918,0.0,82156772,4,1,11,6,0,131.0,93 70 86 47 76 75 48 28 106 29 59 49 64 2 42 46 17 9 56 62 36 11,58 24 52 21 49 30,,,127 52 100 72 37 48 8 113 28 6 20 46 59,562294 703270 88372 331116 367216,56195 20745 104708 53146 16465,,5382 5276 5229 9826 1634,5005 6058 8149 7242 8265,,,,1 3,1,1,,158679,643438,1690612,60,4,0,4
561,0.0,50511083,4,2,11,7,1,451.0,70 118 76 4 48 28 8 106 59 49 114 46 36 11,9 33 45,,,77 100 72 37 116 13 78 4 109 8 30 50 28 6 76 27 9 20 46 58 40 131 29 113 61 41 16 66 121 59 118 129 96,367174 517924 468012 77820 667520,11395 79112 87384 81211 38163,,5103 8525 2873 9600 5828,6337 7805 3430 9358 5916,,,,3 1,1,1,,44008,100565,808799,79,21,0,4
173,0.0,10178454,2,1,13 10,2,1,373.0,70 109 12 28 49 41 6 119 42 114 68 81 116 36 11 96,,,,80 37 116 78 109 8 30 50 6 42 76 46 58 103 119 52 131 61 73 132 89 121 59 118 60 129 51 120,735633 335634 118425 303439 751721,19721 41716 37848 96549 95597,,7519 4943 9826 7613 5384,5191 691 4686 4034 8449,,,,3 1,1 2,1,1.0,6937,186348,267290,35,89,3791,9
1379,0.0,61856062,2,2,10,2,1,683.0,6 116,22 58 24 79 9 70 6 21 33 4 49 30 41,,,52 72 131 79 8 6 129,191763 8561,27676 32550 13119 70625 98049,,1823 8775 7667 3883 1596,5274 3629 7374 5524 8782,,,,3 1 2,1,1,,8864,90700,469197,22,27,113,9
191,0.0,55861836,2,1,13 10,6,1,346.0,70 118 76 1 75 69 102 33 28 8 29 59 49 6 42 114 35 116 36 11 44,79 6,,,92 116 13 1 71 109 34 8 30 50 6 76 27 75 9 126 94 57 84 114 40 52 73 132 125 89 121 74 59 60 93,627157 605930 40430 746587 408789,55843 24307 77678 18185 121237,,4399 9826 449 5869 164,5658 4574 8881 9250 4381,,,,3 1 2,1,3,1.0,25485,50138,58465,35,51,15454,11
2048,0.0,19662838,2,2,13 10,1,0,687.0,109 47 119 9 36 11,,,,,777889 339725 123790 27876 529583,,,6308 7089 9826 2296 1874,,,,,0,0,0,,8203,37818,240336,59,142,0,6
1291,0.0,34552591,5,1,2 13,6,1,280.0,93 70 86 118 12 47 75 76 8 106 29 59 49 72 46 115 17 9 56 112 36 34 11,24 73 4 30 48,,,52 100 131 37 13 45 8 30 50 6 46 59 24 14,694136 334768 289672 271817 424303,102474 56400 84023 26546 37224,,5053 6718 5382 8003 5610,8577 2277 8752 450 6959,,,,3 1,2,1,,1082,40405,1434096,53,13,0,6
1107,0.0,42695592,2,2,10,2,2,945.0,,70 54,,,52 31 92 116 78 109 8 30 6 42 43 76 121 59 18 58 64 120 93,,4008 53143 75218 67579 115712,,,1725 882 9298 8683 8402,,,,3,1,1,,5552,68476,476885,35,27,113,9
1350,0.0,41497358,5,1,0,2,1,585.0,70 109 28 106 59 49 6 119 57 36 11,47 9 31 32 21 7,,,,575681 726923 164253 251617 279516,11395 79112 1225 16090 31287,,296 506 5563 1478 9357,441 134 8187 565 7914,,,,3 1,1,0,,7565,353610,1554384,109,94,0,4
2031,0.0,27195866,2,2,10,7,1,576.0,86 69 108 73 36 11 38 87,1 70 54,,,77 72 131 63 11 78 71 109 8 113 30 6 42 76 89 59 118 58 103 114 21 93,414079 739307 507912 640492 368434,34390 974 66915 120667 85930,,4022 9418 5731 5571 8351,3938 2584 8977 3701 4625,,,,3 1,1,3,,83042,280832,425385,22,70,0,4
688,0.0,16162119,2,1,10,6,1,432.0,70 75 69 28 29 27 6 7 19 60 36 11 20,47 58 42 73 24 9 31 52 1 46 70 6 21 33 4 71 30 23 37 29 53 82 74 48 39 44 10,,,127 52 72 92 131 37 116 47 79 71 8 50 6 111 75 46 121 60 10 129 21,773220 11404 365269 630327 793589,11395 79112 97754 43225 2095,,6427 3229 4608 2374 8710,7062 9430 6945 7457 7770,,,,4 1 3,1,1,,915,994,1753448,60,51,0,4
1201,0.0,68010161,2,2,13 10,2,2,437.0,,70 54 10,,,,,67579 29946 66915 85039 28023,,,9018 8763 3773 263 6286,,,,1 3,1,3,,5552,68476,1172593,35,27,113,9
191,0.0,29352320,2,1,10,7,1,432.0,47 6 22 9 36 11,22 42 46 70 28 43 54 29 10,,,92 37 116 78 71 109 128 8 30 6 42 43 76 46 58 64 56 52 131 121 23 59 18 129 93 15,758674 333303 517534 397243 605677,33961 30855 80452 55867 37979,,6179 5344 385 7465 9481,8005 1386 7772 2669 5200,,,,3,2,2,,25485,50138,58465,35,51,15454,11
191,0.0,68506212,1,1,10,2,1,434.0,93 70 75 76 29 73 46 36 11 90,,,,,453006 504018 395787 162804 131879,117462 34128 72933 51859 63352,,1937 2013 1885 6851 3102,7736 9047 3023 5230 5234,,,,0,0,0,,25485,50138,58465,35,51,15454,11
914,0.0,14271524,4,1,11,1,2,116.0,93 70 77 37 109 98 75 69 8 29 49 27 19 46 56 36 11 44 118 76 59 41 91 17,,,,100 80 37 4 76 46 93,322345 337178 497092 777052 621989,17861 63924 20861 89027 76242,,7165 1953 523 9826 6070,2406 13 8645 4883 507,,,,1 3,1,1,,47823,111645,141973,100,21,0,4
1284,0.0,53470326,4,1,11,6,1,209.0,93 70 77 86 37 100 98 76 75 28 29 59 49 6 72 46 116 36 11,47 22 73 24 9 69 70 21 30 74 23,,,100 80 37 116 28 98 6 46 121 59,524306 453518 711140 238846 529100,44571 86574 19669 89401 110671,,6254 9826 8726 8829 1172,9027 6945 8704 4128 3460,,,,3 1 4,2,3,,6841,159118,1758880,42,10,3733,11
1107,0.0,75761304,5,2,10,7,0,325.0,,52 70 21 54,,,,,106194 77689 38500 29033 67313,,,7892 1176 2216 2187 5815,,,,0,0,0,,5552,68476,476885,35,27,113,9
191,0.0,50045382,1,1,13 10,2,1,112.0,75 29 59 49 122 89 18 36 11,73 9 4 26 39 23,,,52 92 131 63 78 109 8 30 6 42 76 75 89 62 59 64 129 93,338851 559130 53354 742497 237738,10358 63898 4770 13956 69033,,2011 6762 1820 7684 7598,2400 7780 7318 3308 1489,,,,1 4 3,1,1,1.0,25485,50138,58465,35,51,15454,11
1468,0.0,58950186,5,1,13,7,1,678.0,70 109 12 47 75 69 33 29 49 6 115 88 81 56 36 34 11 20 28 59 122 114 111 23 17 9 116,47 69,,,100 72 92 37 116 13 78 8 30 50 6 42 111 9 46 94 57 35 103 52 31 131 124 29 61 121 23 59 129,768010 547462 394079 241887 74461,3490 85930 118492 66760 80082,,1835 3568 9826 3118 9256,6710 9427 7433 9438 3018,,,,3 1,1,1,1.0,915,994,1610899,60,51,0,4
70,0.0,73222626,2,2,10,2,2,769.0,86 75 29 6 2 71 36 11,70 4 39 54,,,77 104 131 78 71 109 8 30 28 6 7 99 55 20 59 120 21,411962 338851 773027 221215 775431,15571 95597 94789 12937 117462,,644 3162 9205 8822 7468,1881 9108 803 8886 7101,,,,3,1,1,,327,5616,5977,22,27,113,9
1566,0.0,52203658,2,1,10,2,2,972.0,70 28 49 73 17 58 56 36 11 87,,,,6 76 27 59 51 40,500054 764353 89154 371241 6618,53851 18185 57844 30191 95822,,9026 46 166 2272 5402,8890 5835 1633 4797 4248,,,,3 1,2,1,,6946,296367,520004,59,24,3794,11
286,0.0,30810158,2,1,10,7,0,951.0,70 109 47 48 106 119 9 36 11,24 9 30,,,92 37 116 78 30 86 73 6 42 76 89 46 18 58 64 129 93,338891 407303 515478 8561 717647,90248 6918 44999 53818 60238,,3036 8522 9462 3231 7171,1712 8577 9438 2376 7909,,,,3 2 4,2,1,,25485,104406,131847,42,51,15454,11
529,0.0,35466183,3,1,0,3,1,492.0,93 70 118 76 75 48 28 8 29 6 42 73 26 46 57 62 36 11 3 25,79 24 73 52 70 6 21 4 30 74 10,6 8 10 4 9 1 7 3 5 2,,100 131 37 116 78 8 30 6 42 5 76 46 74 59 129 68 96,378633 384549 734925 8561 775554,61483 17460 87384 81211 65838,36983 25452 37558 35051 55758,3851 1338 1031 6157 9264,1079 2685 9854 4557 9283,1038 43 3651 8439 7393,60806 8899 7764 50585 19763 45857 50704 12226 45134 47751 11938 19039 13158 47826 59290,,1 3,1,1,,10122,163352,220558,35,10,3733,11
1605,0.0,38026129,2,1,10,7,0,809.0,70 109 47 75 28 29 49 15 119 9 36 11,22 70 10,,,71 109 50 16 6 59 129 56 38 83,351497 27382 570208 347740 435043,102474 82720 48733 31076 85264,,9826 4816 8088 2287 1796,5764 4073 7708 9751 3600,,,,3 1,2,1,,11195,19215,1755470,53,140,0,4
561,0.0,52873995,1,1,11,2,1,431.0,93 70 86 109 12 98 75 69 29 49 83 6 72 46 81 36 11 20 28 59 41 119 95 91 111 60 22 71 57 116,,,,100 72 92 116 13 47 1 78 71 109 8 30 50 86 6 42 27 9 46 122 85 103 21 40 65 52 131 11 79 29 132 19 97 89 121 23 59 129 22,517534 171066 405889 462178 120065,8546 37224 73507 104156 50832,,4225 9826 2654 523 2941,5115 7903 4797 2979 8116,,,,3 1,1,1,,44008,100565,808799,79,21,0,4
173,0.0,53468309,1,1,10,7,1,502.0,70 37 12 100 76 49 18 46 36 34 11,9,,,80 131 37 13 78 71 8 30 61 50 6 42 76 27 9 46 59 129 68 38 21 40 93,573044 330347 289152 640481 495006,65668 113002 43585 305 95597,,9826 7457 8322 4848 6762,4975 6423 296 6311 5615,,,,1 3,1,1,,6937,186348,267290,35,89,3791,9
1566,0.0,14974603,2,1,10,1,1,115.0,109 49 91 111 17 58 56 36 11,22 70 21,,,131 8 50 60 18 58,140919 633715 160924 384951 562294,718 286 31506 112877 95597,,88 6517 8538 5115 2737,2372 6468 9708 2353 4484,,,,1 3 2,1,0,,6946,296367,520004,59,24,3794,11
1950,0.0,54704299,1,1,13 10,7,1,432.0,70 12 47 76 106 49 15 42 9 58 36 34 11 96,73 9 46 74 29,,,,697262 43935 21321 181856 306902,11395 79112 70387 111423 305,,2994 4647 5088 9826 5895,5142 3568 9705 8525 9567,,,,3 1,2 1,0,,41806,233191,1016027,35,13,27855,9
411,0.0,764565,4,1,10,7,1,638.0,49 18,,,,,92104,95444 81436 21577 109180 43391,,2570 6563 7684 727 9826,1272 3198 4159 6145 1911,,,,0,0,0,,9106,163120,220179,79,21,0,4
432,0.0,2255587,4,1,11,7,2,402.0,93 70 77 37 12 98 47 75 8 29 49 42 46 88 35 56 36 11 118 76 28 106 59 41 18 114 23 9 17 21,47 24 79 73 9 53 46 20 6 4 30 74 41 39 23 72,,,77 100 72 80 33 37 116 13 108 47 1 109 8 50 6 42 46 122 103 52 113 61 41 89 121 74 59 10 54,568428 555051 36095 28984 582341,43350 29523 90931 3381 46769,,644 6978 3929 523 6939,7211 9413 7306 2599 8582,,,,3 1 4,1 2,1,1.0,11437,18237,1081485,100,21,0,4
1468,0.0,78517296,1,1,10,1,1,364.0,49 18 36 11,63 47 73 9 69 46 19 4 18 36 30 74 41 29,,,100 131 116 13 78 109 124 8 30 50 6 42 9 89 46 121 59 64 35 120,644068,102474 9279 60463 75000 104375,,9547 5400 5155 6252 2937,2913 3394 2737 598 6459,,,,1 3 4,1,1,,915,994,1610899,60,51,0,4
1119,0.0,49549070,5,1,15,1,1,910.0,70 75 28 29 36 11,,,,127 52 100 92 131 116 109 128 8 6 42 76 46 121 59 129 103 96 15,196312 8561 605930 567871 620347,70672 80808 23163 116065 38500,,2905 2452 6532 9826 9508,1066 4426 4342 6417 3298,,,,3 1,2,1,,3993,63752,798752,59,10,19256,11
1918,0.0,54468510,5,1,11,7,1,910.0,93 70 86 109 47 75 48 33 29 83 27 119 73 39 19 46 9 17 56 36 11 117,24 73 30 74,,,100 31 92 37 47 128 8 17 50 6 27 46 59 10 40,345784 93317 204257 578241 53354,11395 43134 86574 79112 13723,,2013 8133 7684 6939 7017,6547 5879 2774 9529 7120,,,,3 1 4,1,1,,158679,643438,1690612,60,4,0,4
1254,0.0,61321991,1,2,10,7,1,544.0,6 26 71 36 11 40,73 46 70 18 14 27 29,,,127 131 37 116 47 109 8 6 132 76 27 46 121 59 10 129 120 40 93,562294 542834 334799 677556 772742,44452 56906 74860 8546 98369,,7608 4980 8048 5935 5272,6459 6311 5115 5641 5377,,,,3 1,2,1,,8350,244601,1383456,35,59,0,4
1950,0.0,18919872,2,1,13 10,2,1,265.0,93 70 86 109 75 76 29 83 6 2 119 46 71 17 56 36 11,,,,52 100 72 31 131 116 71 29 8 41 73 6 132 87 46 121 59 129 21,522888 521866 53354 721882 473296,22154 91085 43585 88109 70539,,9826 6370 7816 2961 1123,5013 3145 1921 6100 7903,,,,1 3 4,1,1,,41806,233191,1016027,35,13,27855,9
692,0.0,60585954,5,1,10,7,1,112.0,70 76 49 41 73 23 17 56 36 11 90,22 79 73 46 70 6 19 18 13 74 29,,,72 92 116 13 71 8 50 28 98 6 76 111 9 38 52 131 107 79 16 132 19 70 121 59 60 96 93,131622 697129 715820 248375 117916,8546 16186 12933 13189 94457,,6519 976 4720 7989 3099,5641 6311 4260 672 7895,,,,4 1 3,2,1,,6946,296367,455396,59,24,3794,11
1468,1.0,63545149,5,1,10,6,1,246.0,93 46 36 11,,,,100 6 46 129,26682,46123,,8176 1525 4197 1646 7704,525 6374 1188 9163 9775,,,,3 1,2,1,,915,994,1610899,60,51,0,4
1254,0.0,50134234,1,2,13,3,1,642.0,70 77 118 98 75 76 69 8 29 59 49 114 46 36 54 11,73 46 4 74 48 29,,,72 80 92 116 13 134 71 109 8 50 28 6 42 76 27 9 75 20 46 64 103 114 21 40 106 52 131 11 79 113 61 121 59 129 120 51 93 54,121880 22550 125566 229272 600876,43977 87384 81211 120298 8546,,6976 6931 5898 46 7246,1649 5115 2816 8225 3466,,,,3 1,1,1,,8350,244601,1383456,35,59,0,4
1291,0.0,80262002,1,2,10,7,1,275.0,70 86 101 47 76 105 106 29 83 46 9 36 11,9 46 37,,,72 92 116 108 71 128 8 50 28 115 6 7 42 76 111 75 20 46 36 64 21 52 131 29 19 121 59 93,711231 522888 222101 107700 646842,51049 79166 66737 85195 117548,,6876 7463 9805 8976 9826,756 9934 3923 7621 9089,,,,3 1,2,1,,1082,40405,1434096,53,13,0,6
1044,0.0,60089880,5,2,15,7,1,431.0,93 86 118 109 8 2 26 72 91 46 36 11 25,,,,100 72 92 116 13 78 71 8 30 86 28 6 42 99 76 111 75 9 46 64 122 56 38 52 131 69 89 121 23 59 129 93,223421 41734 422740 542834 487978,53212 105942 77689 38500 118648,,9621 7688 9826 8778 6661,3600 5566 105 6945 8726,,,,1 3,2,1,,18630,33813,38299,35,4,0,4
2031,0.0,69561396,1,2,13 10,6,1,464.0,70 86 12 76 75 29 42 72 88 36 82 11 96,73 31 44,,,78 71 30 6 42 76 59 130 103 21,345784 424336 593100 93199 447841,56438 81716 31370 105942 87963,,8244 4527 3434 5009 4260,5566 2351 6447 3640 1818,,,,3 1,2,1,1.0,83042,280832,425385,22,70,0,4
1940,0.0,11004128,1,2,13 10,7,2,839.0,77 86 2 46,22 1 70 54,,,,262926 517534 497092 580549 466036,11547 5685 85177 79353 117394,,7593 5669 4388 9131 348,5987 8592 7260 8019 5018,,,,0,0,0,,5552,30399,530889,35,27,113,9
1918,0.0,42721219,1,1,11,7,2,333.0,70 109 12 47 69 49 6 73 115 88 56 36 34 11 54 28 59 41 119 71 17 9 116 90,51 22 73 79 9 1 46 70 6 33 29 10 35,,,92 63 116 13 47 1 71 109 128 8 50 86 6 42 76 27 9 94 14 35 103 21 40 26 52 131 19 121 88 74 59 60 129 110 120 93,730949 656641 169282 152857 76448,89701 65128 974 18185 93916,,5344 512 1002 2242 9369,2774 8183 3820 3706 597,,,,1 3,1,2,1.0,158679,643438,1690612,60,4,0,4
173,0.0,46965109,1,1,10,2,0,532.0,70 76 6 17 56 116 36 11,,,,72 131 37 13 79 8 6 89 46 94 118 58 129 35,340531 37367 20889 236021 162804,18678 28305 25174 42879 66413,,809 2263 1395 9520 6551,8675 7658 9047 4046 2955,,,,1 3,1,1,,6937,186348,267290,35,89,3791,9
1379,0.0,18308214,5,1,6 13,7,1,100.0,70 86 12 47 75 69 8 29 49 83 6 42 35 112 36 11 54 96 118 76 28 59 41 15 114 9 58 116,22 9 70 4 48,,,100 72 33 116 47 4 71 109 8 50 6 42 76 46 36 64 38 65 52 131 79 41 121 10 60 129 130 93,468512 623073 295648 778442 287136,37213 27247 86941 77930 88919,,7134 8501 3467 3031 7113,8048 2620 5031 3313 8562,,,,1 3 4,1,3,,8864,90700,469197,22,27,113,9
966,0.0,5481239,4,1,10,7,0,576.0,,,,,,,120032 27629 60959 13801 50959,,,4107 1060 3664 7153 5432,,,,0,0,0,,915,31020,666210,22,51,0,4
1622,0.0,63304831,2,2,10,6,2,544.0,109 5 73 36 11 117,46 29,,,92 116 13 109 86 28 7 42 121 14 64 83,127901 482924 481181 8561 9162,23107 37224 29946 1675 43977,,9839 3518 4071 4950 2794,7813 1342 1078 2774 7099,,,,3,1,1,,17597,51385,838455,35,27,0,6
1596,0.0,61563581,2,2,13 10,1,2,317.0,118 8 36 11,63 30,,,,46751 585460 360782,36138 235 65112 100593 9202,,3287 3562 6432 9957 7767,4338 7315 8747 8083 2287,,,,3,1,0,,24704,48236,181137,35,27,113,9
136,0.0,25031802,4,1,11,6,0,219.0,93 70 77 86 118 109 100 76 69 28 8 119 72 46 17 56 36 11 54,24 30,,,100 80 33 131 37 116 109 8 6 5 46 121 59 129,669594 26682 677556 209024 723339,32301 38865 45236 29848 10819,,7281 7465 1902 9826 1183,2013 318 5383 278 744,,,,3 2 4,2,1,,452,50305,1187573,35,10,7992,11
1254,0.0,48513746,5,2,15,7,1,880.0,70 86 109 76 69 28 59 49 83 6 119 111 116 36 11 54,,,,72 92 116 53 13 47 78 71 109 8 30 28 6 42 76 27 46 14 58 64 68 52 31 131 73 132 89 121 59 118 25 129 120 127 100 33 134 12 128 86 115 99 55 20 75 90 40 65 107 69 87 10 130 93,542834 175711 297079 359554 630314,89066 56906 99882 38500 93127,,9826 6520 1874 8525 3162,6477 1924 849 5540 2209,,,,2 3 1,2,2,1.0,8350,244601,1383456,35,59,0,4
792,0.0,9988157,5,2,11,7,1,753.0,93 70 67 46 36 11,,,,52 100 92 131 71 8 61 50 115 6 75 46 129 114,4569 659836 172382 522239 64588,53212 119890 7014 88720 77448,,7993 5415 6604 1485 3802,4071 8165 3701 7734 5879,,,,0,0,0,,8350,331396,1564743,22,59,0,4
561,0.0,81260936,1,1,11,7,1,275.0,93 46,,,,,28185,114609 55816 8546 8646 103897,,5728 165 5128 2199 1066,499 5927 9401 1135 8890,,,,1 3,2,0,,44008,100565,808799,79,21,0,4
389,0.0,279902,5,2,13 10,1,1,458.0,70 109 47 69 28 59 67 49 114 26 91 9 36 65 11 38 25,63 42 73 31 46 70 21 33 4 28 3 30 7 37 44 65 14 10 29,6 4 10 9 1 7 5 2,,127 72 80 92 37 116 78 8 30 28 115 6 76 55 27 46 40 131 69 5 121 59 129 93,552046 218501 231442 603826 701150,64342 98330 99414 74860 16156,36983 51356 55758 9888 6164,609 8726 353 2392 7264,5524 3104 7173 6945 8116,2937 43 4445 7481 7730,10876 45028 6071 29193 55984 26035 37826 42554 58506 23206 64678 40044 25207 4980 12004 61664 45505 1123 3237 57061 47366 62385 24522 56616 34691 22759 63809 30699 60283 52013 21970 54768 9174 47169 49587 50237 18814 46808 37518 59311 42747 14237 46809 28827 59290 19020 57849 13132 14380 39261 19039 22164 11245 144 40038 58031 64692 42892 41664 35015 57514 12035 16267,,3 1,1,2,1.0,9106,662422,1354071,79,21,0,4
1714,0.0,54613804,4,2,11,6,1,353.0,93 70 86 76 75 48 28 106 29 6 2 42 72 46 116 62 36 11,52 21,,,52 100 72 92 131 116 29 8 28 115 6 132 42 20 46 121 59 64 129,8215 8561 109768 42864 781803,87795 93971 70619 7675 76242,,9826 9158 1450 7463 537,6640 7974 4706 2117 8577,,,,1 3,2,2,,79,25739,1608684,59,10,1455,11
191,0.0,54129227,2,1,10,1,1,115.0,70 109 47 76 28 49 119 95 17 9 56 36 11,,,,78 109 30 118 58 120,681558 107389 559980 429629 307740,10358 29946 69448 104155 10420,,2532 7596 4008 4486 9358,1422 6974 755 9019 9132,,,,3,1,1,,25485,50138,58465,35,51,15454,11
336,0.0,52250353,4,2,11,6,0,539.0,93 70 77 86 37 109 98 4 75 69 8 29 49 6 2 73 72 46 36 11 20 30 118 76 48 39 23 116 3 117 87,,,,,131085 338851 538596 131879 349924,103790 62888 82366 117462 105314,,638 6939 9826 393 6661,9542 3994 4107 1726 7433,,,,0,0,0,,370,4833,119845,22,67,113,9
2031,1.0,10068646,1,2,10,2,2,532.0,73 36 11 87,,,,72 33 131 11 109 8 66 6 76 89 59 129 93,636275 675598 530883 210500 85622,37879 51886 79676 92902 4721,18779 28250 31925 55196 24190,1015 5302 7661 9826 8402,8048 1195 3726 926 7388,2336 1888 8454 1084 6935,39799,,1 3,1,1,,83042,280832,425385,22,70,0,4
1119,0.0,36527173,5,1,0,0,2,27.0,,,,,,,,,,,,,,3,1,0,,3993,63752,798752,59,10,19256,11
231,0.0,57978528,1,2,13 10,6,1,540.0,70 86 37 98 121 47 102 33 10 8 29 49 83 27 6 7 73 19 46 56 36 11 118 76 48 28 106 114 57 17 9 80 87,47 24 69 30,,,100 72 92 37 116 134 78 71 109 128 12 8 112 30 28 98 115 6 7 42 76 27 20 46 64 103 114 40 52 31 131 79 41 89 121 23 59 129 130 120 93 83,141504 195965 204257 301906 752145,75000 90656 40765 41409 28206,,9826 8133 7017 5230 4746,7608 8369 7740 5674 5791,,,,3 1,1,3,,11487,159012,991964,20,1,0,4
1918,0.0,30692162,4,1,11,6,2,514.0,93 70 77 86 109 12 47 4 69 49 83 6 42 73 46 112 36 66 82 11 63 59 41 119 57 23 9 116 117,24 30,,,52 100 72 80 92 37 4 8 50 41 28 6 27 75 20 46 24 129 26,624687 500814 589299 132088 573047,3381 2042 88002 90383 80172,,9826 7684 2353 1971 4409,6116 2391 1944 6000 7403,,,,4 3 1,2,1,,158679,643438,1690612,60,4,0,4
1596,0.0,6586514,2,2,10,2,1,502.0,93 75 69 29 46 36 11 54,24 73 9 1 70 19 28 13 30 74,,,100 31 131 109 8 6 42 76 46 74 59 64 130 120,664543 63742 446696 220981 723267,94407 8125 73295 93916 17355,,904 2927 2359 696 2770,1425 6144 1097 6424 8905,,,,3 1,1,1,,24704,48236,181137,35,27,113,9
